"SITECODE","LCODE","SDATE","SHOUR","SMINS","RECORDER","RECCODE","TEMP","SUNPERC","WSPEEDB","WEEK"
"T01","01",11-APR-94,13,45,"SJC","1",13,100,1,2
"T10","01",11-APR-94,14,48,"CB","1",14,100,3,2
"T05","01",11-APR-94,11,45,"KT","1",12,100,3,2
"T03","01",15-APR-94,14,0,"RA","1",13.5,100,4,3
"T05","01",18-APR-94,11,15,"KT","1",10,100,3,3
"T06","01",21-APR-94,11,40,"JEB","4",23,30,4,3
"T01","01",21-APR-94,13,45,"SJC","1",14.5,90,3,3
"T09","01",21-APR-94,14,45,"HT","1",16,100,2,3
"T09","01",22-APR-94,14,5,"HT","1",17,100,2,4
"T08","01",22-APR-94,11,50,"CAW","2",15,90,3,4
"T01","01",22-APR-94,14,0,"SJC","1",16,80,4,4
"T06","01",22-APR-94,11,50,"JEB","4",23,60,4,4
"T03","01",26-APR-94,14,15,"RA","1",15,90,9,4
"T05","01",26-APR-94,11,0,"KT","1",15,100,4,4
"T10","01",27-APR-94,14,18,"CB","1",18,0,4,4
"T05","01",29-APR-94,10,45,"KT","1",21,100,4,5
"T01","01",29-APR-94,13,40,"SJC","1",18.7,100,4,5
"T09","01",29-APR-94,11,30,"HT","1",19,100,2,5
"T06","01",29-APR-94,11,45,"JEB","4",25,100,3,5
"T08","01",29-APR-94,11,15,"MDM","1",20,100,4,5
"T04","02",01-MAY-94,13,0,"IHF","1",16,100,1,5
"T10","01",04-MAY-94,14,8,"CB","1",15,90,5,5
"T01","01",06-MAY-94,13,30,"SJC","1",15.5,80,2,6
"T03","01",06-MAY-94,14,15,"RA","1",15,60,3,6
"T09","01",08-MAY-94,13,55,"HT","1",18,100,1,6
"T04","02",08-MAY-94,13,0,"IHF","1",14,100,1,6
"T08","01",09-MAY-94,13,50,"CAW","2",15,80,2,6
"T05","01",09-MAY-94,13,0,"KT","1",15,80,2,6
"T07","01",09-MAY-94,12,40,"AB","1",,50,2,6
"T06","01",10-MAY-94,11,50,"JEB","4",22,60,4,6
"T04","01",11-MAY-94,12,20,"JKA","1",12,100,3,6
"T10","01",11-MAY-94,11,0,"CB","1",16.5,90,5,6
"T03","01",12-MAY-94,15,15,"RA","1",17,80,6,6
"T02","02",13-MAY-94,,,"","",,,,7
"T02","01",13-MAY-94,14,30,"DJH","1",15,100,5,7
"T06","01",13-MAY-94,11,40,"JEB","4",27,100,4,7
"T04","02",13-MAY-94,15,0,"IHF","1",17,100,3,7
"T05","01",14-MAY-94,11,15,"KT","1",,70,5,7
"T09","01",15-MAY-94,13,45,"HT","1",20,100,1,7
"T03","01",18-MAY-94,12,15,"HDN","2",16,100,5,7
"T10","01",18-MAY-94,14,38,"CB","1",13,90,2,7
"T08","01",20-MAY-94,13,30,"CAW","2",13,60,2,8
"T07","01",23-MAY-94,,,"AB","1",,60,3,8
"T03","01",26-MAY-94,11,45,"HDN","2",13,80,2,8
"T04","02",29-MAY-94,12,0,"IHF","1",13,50,1,9
"T09","01",29-MAY-94,10,50,"HT","1",17,70,3,9
"T06","01",30-MAY-94,11,36,"JEB","4",25,100,2,9
"T04","02",30-MAY-94,12,30,"IHF","1",15,100,2,9
"T04","01",30-MAY-94,15,17,"DS","4",12,100,4,9
"T01","01",31-MAY-94,13,30,"SJC","1",19.5,100,3,9
"T02","02",31-MAY-94,,,"","",,,,9
"T02","01",31-MAY-94,14,0,"DJH","1",17,100,5,9
"T08","01",31-MAY-94,13,20,"MDM","1",19,100,3,9
"T05","01",31-MAY-94,11,0,"KT","1",18,100,2,9
"T03","01",01-JUN-94,12,15,"HDN","2",17.5,50,3,9
"T10","01",02-JUN-94,14,35,"RJR","2",19,30,3,9
"T09","01",05-JUN-94,10,55,"HT","1",17,100,3,10
"T05","01",06-JUN-94,13,30,"KT","1",18,70,5,10
"T01","01",06-JUN-94,13,20,"SJC","1",20,90,4,10
"T08","01",06-JUN-94,14,25,"CAW","2",18.5,80,4,10
"T04","02",07-JUN-94,13,0,"IHF","1",15,80,3,10
"T10","01",07-JUN-94,14,0,"CB","1",22,10,2,10
"T02","01",09-JUN-94,14,15,"SW","2",13,60,5,10
"T02","02",09-JUN-94,,,"","",,,,10
"T08","01",11-JUN-94,11,25,"MDM","1",28,100,3,
"T09","01",12-JUN-94,12,35,"HT","1",20,0,1,11
"T06","01",12-JUN-94,11,30,"JEB","4",26,100,1,11
"T02","02",13-JUN-94,,,"","",,,,11
"T03","01",13-JUN-94,11,15,"HDN","2",17,90,3,11
"T04","01",13-JUN-94,13,30,"DS","4",19,100,3,11
"T04","02",13-JUN-94,16,0,"IHF","1",20,100,1,11
"T01","01",13-JUN-94,14,30,"SJC","1",20.2,100,2,11
"T02","01",13-JUN-94,14,0,"SW","2",23,100,3,11
"T05","01",13-JUN-94,12,35,"KT","1",20,80,2,11
"T08","01",14-JUN-94,11,5,"CAW","2",19,100,4,11
"T07","01",14-JUN-94,,,"AB","1",16,60,2,11
