unique_id,site,country,latitude,longitude
10,GB19,BE,51.3703233,4.24180363
10,GB7,BE,51.35959787,4.246405663
10,GB13,BE,51.36707119,4.244361294
10,GB6,BE,51.35960092,4.249507428
10,GB2,BE,51.35701981,4.249687392
10,GB3,BE,51.3583558,4.250567923
10,GB8,BE,51.36132663,4.247910198
10,GB11,BE,51.36183699,4.244513133
10,GB1,BE,51.3564303,4.251881321
10,BS3,BE,51.25069235,4.33641881
10,BS5,BE,51.25039464,4.336089397
10,Gs3,BE,51.31171718,4.281491187
10,KP2,BE,51.28477532,4.314615587
10,KP3,BE,51.28482016,4.315111876
10,KP1,BE,51.28478595,4.314255587
10,BS1,BE,51.25095529,4.336661656
10,KT1,BE,51.20683144,4.36680364
10,KT3,BE,51.20671749,4.366917084
10,KT5,BE,51.20664536,4.366966111
10,GB24,BE,51.35734957,4.245430562
10,PS5,BE,51.3427319,4.246851438
10,PS4,BE,51.34166556,4.245107264
10,GB23,BE,51.35784957,4.248620549
10,PS3,BE,51.34206663,4.245818219
10,PS diep,BE,51.3358604,4.257080032
10,GS diep,BE,51.31153023,4.280979132
10,PB1,BE,51.24328505,4.352960424
10,GSd,BE,51.31171858,4.281253421
10,PB3,BE,51.24322051,4.352299098
10,PB2,BE,51.24343154,4.352342432
10,GK08_11,BE,51.36494899,4.246237199
10,GK08_12,BE,51.36354778,4.24697273
10,GK08_13,BE,51.33335689,4.257770053
10,GK08_15,BE,51.36073115,4.249219155
10,GK08_16,BE,51.3743526,4.241310757
10,GK08_17,BE,51.36293872,4.240191235
10,GK08_18,BE,51.36270354,4.235501533
10,GK08_19,BE,51.36294407,4.240491124
10,GK08_20,BE,51.32811979,4.280553778
10,GK08_21,BE,51.3205192,4.281357821
10,GK08_22,BE,51.31005146,4.268320994
10,GK08_23,BE,51.25568832,4.316483815
10,GK08_24,BE,51.25390743,4.32575082
10,GK08_25,BE,51.23682272,4.383335607
10,GK08_36,BE,51.34651236,4.238359296
10,GK08_37,BE,51.341428,4.24572923
10,GK08_38,BE,51.33723481,4.255752156
10,GK08_39,BE,51.33264067,4.260562188
10,GK08_40,BE,51.31931081,4.281545033
10,GK08_44,BE,51.25706156,4.315346872
10,GK08_45,BE,51.32376044,4.281441924
10,GK08_49,BE,51.36272572,4.235551202
10,GK09_01,BE,51.36686001,4.244781892
10,GK09_02,BE,51.36668362,4.245413245
10,GK09_03,BE,51.31654934,4.282654627
10,GK09_05,BE,51.23669503,4.375287344
10,GK09_06,BE,51.37279983,4.24099156
10,GK09_07,BE,51.36603729,4.242791544
10,GK09_08,BE,51.34061871,4.251923962
10,GK09_09,BE,51.32351399,4.281309105
10,GK09_10,BE,51.31303167,4.280741528
10,GK09_11,BE,51.3007092,4.294605753
10,GK09_12,BE,51.2659601,4.309699793
10,GK09_13,BE,51.25360974,4.328828945
10,GK09_14,BE,51.25237552,4.331679477
10,GK09_15,BE,51.24162933,4.358374847
10,GK09_16,BE,51.35960079,4.244543653
10,GK09_17,BE,51.35578079,4.253036885
10,GK09_18,BE,51.34178851,4.247976819
10,GK09_19,BE,51.3382924,4.254133211
10,GK09_20,BE,51.33485936,4.257739071
10,GK09_21,BE,51.32736588,4.282064386
10,GK09_22,BE,51.29759898,4.306526076
10,GK09_23,BE,51.25781269,4.309503051
10,GK09_24,BE,51.23862793,4.398671982
10,GK09_25,BE,51.21587468,4.38590231
10,GK10_01,BE,51.33324867,4.280979744
10,GK10_02,BE,51.34307,4.243101681
10,GK10_03,BE,51.33512052,4.254238636
10,GK10_04,BE,51.35806952,4.249578172
10,GK10_05,BE,51.20865291,4.371042243
10,GK10_06,BE,51.28783245,4.30979178
10,GK10_07,BE,51.23653335,4.360229996
10,GK10_08,BE,51.34251097,4.246633347
10,GK10_09,BE,51.34006553,4.250207193
10,GK10_10,BE,51.29572642,4.282615484
10,GK10_11,BE,51.35585278,4.252617287
10,GK10_12,BE,51.31837939,4.264529943
10,GK10_13,BE,51.22350386,4.391443433
10,GK10_14,BE,51.35949584,4.245117137
10,GK10_15,BE,51.33650437,4.255857662
10,GK10_16,BE,51.33698382,4.257110495
10,GK10_17,BE,51.34032275,4.251816201
10,GK10_18,BE,51.2230953,4.391339165
10,GK10_19,BE,51.3599874,4.241678794
10,GK10_21,BE,51.36135762,4.237414835
10,GK10_22,BE,51.32716282,4.280082519
10,GK10_23,BE,51.28978833,4.305841034
10,GK10_24,BE,51.33206492,4.262453443
10,GK10_25,BE,51.33022478,4.280354169
10,GK11_01,BE,51.23639423,4.372930133
10,GK11_02,BE,51.27316665,4.305861375
10,GK11_03,BE,51.27841213,4.31170077
10,GK11_04,BE,51.28589249,4.312409526
10,GK11_05,BE,51.30859706,4.283833363
10,GK11_06,BE,51.33356484,4.253850915
10,GK11_07,BE,51.35834745,4.249363292
10,GK11_08,BE,51.36120851,4.25003291
10,GK11_09,BE,51.36135674,4.249035587
10,GK11_10,BE,51.36301272,4.245214968
10,GK11_11,BE,51.25000056,4.337448947
10,GK11_12,BE,51.25149405,4.33502739
10,GK11_13,BE,51.25171435,4.305734435
10,GK11_14,BE,51.26557874,4.309707005
10,GK11_15,BE,51.27664687,4.322818867
10,GK11_16,BE,51.30572199,4.284232253
10,GK11_17,BE,51.32525766,4.281772509
10,GK11_18,BE,51.33398899,4.259659963
10,GK11_19,BE,51.36187696,4.235859793
10,GK11_20,BE,51.3723363,4.24162656
10,GK11_21,BE,51.25658008,4.297466718
10,GK11_22,BE,51.29228929,4.318939921
10,GK11_23,BE,51.30874076,4.281578649
10,GK11_24,BE,51.31843935,4.265222619
10,GK11_25,BE,51.32674933,4.280814337
10,GK11_26,BE,51.33627116,4.258212619
10,GK11_27,BE,51.35985145,4.242413765
10,GK11_28,BE,51.36078154,4.243275619
10,GK11_29,BE,51.3630321,4.242157063
10,GK11_30,BE,51.36887856,4.240894559
10,GK12_01,BE,51.30562203,4.269039524
10,GK12_02,BE,51.23634815,4.372846211
10,GK12_03,BE,51.33454842,4.251301625
10,GK12_04,BE,51.24773681,4.343368545
10,GK12_05,BE,51.36098719,4.249697776
10,GK12_06,BE,51.30854107,4.283865916
10,GK12_07,BE,51.33763638,4.249576974
10,GK12_08,BE,51.30689148,4.26928807
10,GK12_09,BE,51.33552251,4.25395269
10,GK12_10,BE,51.31840865,4.26410054
10,GK12_11,BE,51.34457624,4.242734185
10,GK12_12,BE,51.25570468,4.319589435
10,GK12_13,BE,51.26091964,4.306936958
10,GK12_14,BE,51.3660247,4.243311768
10,GK12_15,BE,51.30696109,4.28453358
10,GK12_16,BE,51.36739965,4.244330195
10,GK12_17,BE,51.29596717,4.282844095
10,GK12_18,BE,51.31854318,4.264911426
10,GK12_19,BE,51.3634495,4.243250037
10,GK12_20,BE,51.21145703,4.378276134
10,GK12_21,BE,51.24724058,4.343614921
10,GK12_22,BE,51.25808493,4.296272536
10,GK12_23,BE,51.2883819,4.309965251
10,GK12_24,BE,51.29268656,4.296726712
10,GK12_25,BE,51.23782028,4.349616582
10,GK12_26,BE,51.36182997,4.240591032
10,GK12_27,BE,51.24660006,4.331026501
10,GK12_28,BE,51.29125181,4.30207493
10,GK12_29,BE,51.29802899,4.278307805
10,GK12_30,BE,51.24252037,4.338711292
10,GK13_01,BE,51.31567482,4.282403103
10,GK13_02,BE,51.35925179,4.241999911
10,GK13_03,BE,51.35678218,4.252830881
10,GK13_05,BE,51.27851134,4.311960385
10,GK13_06,BE,51.29038085,4.302232441
10,GK13_07,BE,51.36514064,4.246311859
