unique_id,reported_taxa,corrected_taxa
1,rjp-12,Rubus ulmifolius
1,rjp-13,Rubus vestitus
1,kew-2424198,Rumex acetosa
1,kew-286704,Ruscus aculeatus
1,kew-2486552,Sambucus racemosa
1,kew-2480274,Sanicula europaea
1,tro-35149101,Sanionia uncinata
1,kew-2584429,Saxifraga cuneifolia
1,tro-35186122,Scapania nemorea
1,kew-2482941,Sedum cepaea
1,gcc-6486,Senecio nemorensis
1,gcc-106886,Senecio ovatus
1,kew-441954,Sesleria albicans
1,kew-2485564,Silene flos-cuculi
1,kew-2488103,Silene italica
1,kew-2487815,Silene viridiflora
1,kew-2599158,Soldanella carpatica
1,gcc-44550,Solidago virgaurea
1,rjp-258,Sorbus aria
1,rjp-68,Sorbus aucuparia
1,rjp-989,Sorbus domestica
1,rjp-595,Sorbus torminalis
1,tro-35167378,Sphagnum girgensohnii
1,tro-35175061,Sphagnum quinquefarium
1,kew-195388,Stachys officinalis
1,kew-2482625,Stellaria nemorum
1,kew-287538,Streptopus amplexifolius
1,tro-35104939,Tetraphis pellucida
1,kew-203387,Teucrium scorodonia
1,kew-2513374,Thalictrum aquilegiifolium
1,tro-26602626,Thelypteris phegopteris
1,kew-2457648,Vaccinium myrtillus
1,kew-2457314,Vaccinium vitis-idaea
1,kew-291244,Veratrum album
1,kew-212527,Verbena officinalis
1,kew-2453651,Veronica chamaedrys
1,kew-2463214,Veronica montana
1,kew-2463283,Veronica officinalis
1,kew-2461912,Veronica urticifolia
1,kew-2463476,Viola alba
1,kew-2464036,Viola biflora
1,kew-2459312,Viola odorata
1,kew-2459911,Viola reichenbachiana
1,kew-2459647,Viola riviniana
9,156.001.002,Acanthus balcanicus
9,156.001.001,Acanthus mollis
9,156.001.999,Acanthus sp.
9,156.001.003,Acanthus spinosus
9,156.002.001,Justicia adhatoda
9,095.001.003,Acer campestre
9,095.001.010,Acer granatense
9,095.001.006,Acer heldreichii
9,095.001.011,Acer hyrcanum
9,095.001.002,Acer lobelii
9,095.001.013,Acer monspessulanum
9,095.001.015,Acer negundo
9,095.001.009,Acer obtusatum
9,095.001.008,Acer opalus
9,095.001.001,Acer platanoides
9,095.001.005,Acer pseudoplatanus
9,095.001.014,Acer sempervirens
9,095.001.999,Acer sp.
9,095.001.012,Acer stevenii
9,095.001.004,Acer tataricum
9,095.001.007,Acer trautvetteri
9,009.006.001,Adiantum capillus-veneris
9,009.006.003,Adiantum hispidulum
9,009.006.002,Adiantum raddianum
9,009.006.999,Adiantum sp.
9,009.005.001,Anogramma leptophylla
9,009.001.004,Cheilanthes acrostica
9,009.001.002,Cheilanthes guanchica
9,009.001.005,Cheilanthes hispanica
9,009.001.001,Cheilanthes maderensis
9,009.001.007,Cheilanthes persica
9,009.001.003,Cheilanthes pulchella
9,009.001.999,Cheilanthes sp.
9,009.001.006,Cheilanthes tinaei
9,009.004.001,Cosentinia vellea
9,009.007.001,Cryptogramma crispa
9,009.007.999,Cryptogramma sp.
9,009.007.002,Cryptogramma stelleri
9,009.002.001,Notholaena marantae
9,009.003.001,Pellaea calomelanos
9,009.003.999,Pellaea sp.
9,009.003.002,Pellaea viridis
9,165.001.001,Adoxa moschatellina
9,184.001.001,Agave americana
9,184.001.002,Agave atrovirens
9,184.001.999,Agave sp.
9,184.002.001,Furcraea foetida
9,184.003.001,Yucca filamentosa
9,184.003.002,Yucca gloriosa
9,184.003.999,Yucca sp.
9,052.001.001,Aizoon hispanicum
9,052.005.001,Aptenia cordifolia
9,052.002.001,Carpobrotus edulis
9,052.002.002,Carpobrotus glaucescens
9,052.002.999,Carpobrotus sp.
9,052.006.001,Disphyma crassifolium
9,052.004.001,Drosanthemum floribundum
9,052.004.002,Drosanthemum hispidum
9,052.004.999,Drosanthemum sp.
9,052.008.001,Erepsia heteropetala
9,052.007.001,Lampranthus deltoides
9,052.007.003,Lampranthus falciformis
9,052.007.002,Lampranthus multiradiatus
9,052.007.999,Lampranthus sp.
9,052.003.002,Mesembryanthemum crystallinum
9,052.003.001,Mesembryanthemum nodiflorum
9,052.003.999,Mesembryanthemum sp.
9,170.004.003,Alisma gramineum
9,170.004.002,Alisma lanceolatum
9,170.004.001,Alisma plantago-aquatica
9,170.004.999,Alisma sp.
9,170.004.004,Alisma wahlenbergii
9,170.002.002,Baldellia alpestris
9,170.002.001,Baldellia ranunculoides
9,170.002.999,Baldellia sp.
9,170.005.001,Caldesia parnassifolia
9,170.006.001,Damasonium alisma
9,170.003.001,Luronium natans
9,170.001.003,Sagittaria latifolia
9,170.001.002,Sagittaria natans
9,170.001.004,Sagittaria rigida
9,170.001.001,Sagittaria sagittifolia
9,170.001.999,Sagittaria sp.
9,049.003.001,Achyranthes aspera
9,049.003.002,Achyranthes sicula
9,049.003.999,Achyranthes sp.
9,049.004.002,Alternanthera caracasana
9,049.004.003,Alternanthera nodiflora
9,049.004.001,Alternanthera pungens
9,049.004.999,Alternanthera sp.
9,049.002.008,Amaranthus albus
9,049.002.006,Amaranthus blitoides
9,049.002.007,Amaranthus crispus
9,049.002.002,Amaranthus cruentus
9,049.002.010,Amaranthus deflexus
9,049.002.009,Amaranthus graecizans
9,049.002.001,Amaranthus hybridus
9,049.002.011,Amaranthus lividus
9,049.002.005,Amaranthus muricatus
9,049.002.003,Amaranthus powellii
9,049.002.004,Amaranthus retroflexus
9,049.002.999,Amaranthus sp.
9,049.002.012,Amaranthus viridis
9,049.001.001,Celosia argentea
9,185.001.001,Amaryllis bella-donna
9,185.004.003,Galanthus elwesii
9,185.004.004,Galanthus ikariae
9,185.004.001,Galanthus nivalis
9,185.004.002,Galanthus plicatus
9,185.004.999,Galanthus sp.
9,185.005.001,Lapiedra martinezii
9,185.003.008,Leucojum aestivum
9,185.003.001,Leucojum autumnale
9,185.003.003,Leucojum longifolium
9,185.003.005,Leucojum nicaeense
9,185.003.002,Leucojum roseum
9,185.003.999,Leucojum sp.
9,185.003.004,Leucojum trichophyllum
9,185.003.006,Leucojum valentinum
9,185.003.007,Leucojum vernum
9,185.006.025,Narcissus asturiensis
9,185.006.023,Narcissus bicolor
9,185.006.018,Narcissus bulbocodium
9,185.006.014,Narcissus calcicola
9,185.006.020,Narcissus cantabricus
9,185.006.013,Narcissus cuatrecasasii
9,185.006.026,Narcissus cyclamineus
9,185.006.005,Narcissus dubius
9,185.006.006,Narcissus elegans
9,185.006.011,Narcissus gaditanus
9,185.006.019,Narcissus hedraeanthus
9,185.006.001,Narcissus humilis
9,185.006.008,Narcissus jonquilla
9,185.006.021,Narcissus longispathus
9,185.006.024,Narcissus minor
9,185.006.004,Narcissus papyraceus
9,185.006.007,Narcissus poeticus
9,185.006.022,Narcissus pseudonarcissus
9,185.006.009,Narcissus requienii
9,185.006.012,Narcissus rupicola
9,185.006.015,Narcissus scaberulus
