LCODE,SITECODE,,SDATE,SECTION,FIELDNAME,VALUE,BROODED,,,,,,,
1,T05,,26-Jun-95,3,2,3,,,1995,6,26,,49,Abundance
1,T05,,26-Jun-95,4,2,2,,,1995,6,26,,49,Abundance
1,T05,,26-Jun-95,6,2,1,,,1995,6,26,,49,Abundance
1,T05,,26-Jun-95,8,2,2,,,1995,6,26,,49,Abundance
1,T05,,26-Jun-95,9,2,5,,,1995,6,26,,49,Abundance
1,T05,,26-Jun-95,11,2,1,,,1995,6,26,,49,Abundance
1,T05,,26-Jun-95,12,2,3,,,1995,6,26,,49,Abundance
1,T05,,26-Jun-95,13,2,8,,,1995,6,26,,49,Abundance
1,T01,,27-Jun-95,4,2,3,,,1995,6,27,,49,Abundance
1,T01,,27-Jun-95,5,2,2,,,1995,6,27,,49,Abundance
1,T01,,27-Jun-95,6,2,1,,,1995,6,27,,49,Abundance
1,T01,,27-Jun-95,8,2,6,,,1995,6,27,,49,Abundance
